,FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
24,Stefan,Hofmann,Boston University,Psychology,Boston,MA,3.7,76,2.8,0,3,0,0,15,2,2,10,9,5,0,6,12,0,8,7,1,0,0,17
25,Alvard,Arazyan,Boston University,Ma,Boston,MA,3.3,32,3.1,4,1,8,3,4,0,7,0,5,5,0,6,6,2,4,4,2,0,0,10
26,Bruno,Rubio,Boston University,Chemistry,Boston,MA,4.2,80,3.0,0,6,1,4,1,0,13,1,2,2,0,8,22,0,11,5,2,0,0,14
27,Monica,Stoica,Boston University,Computer Science,Boston,MA,2.0,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Jacqueline,Liederman,Boston University,Psychology,Boston,MA,2.9,N/,3.5,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,9
29,Mihail,Frumosu,Boston University,Ma,Boston,MA,1.9,N/,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Mirco,Soffritti,Boston University,Economics,Boston,MA,3.0,N/,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,Clifford,Backman,Boston University,History,Boston,MA,4.5,88,2.2,1,5,0,1,3,3,2,1,2,0,0,0,7,1,7,1,6,0,0,0
32,Bruce,J.,Boston University,History,Boston,MA,4.3,N/,3.1,2,4,0,1,5,0,4,4,0,0,0,0,1,0,7,1,0,0,0,0
33,Binyomin,Abrams,Boston University,Chemistry,Boston,MA,4.5,90,3.9,5,20,8,7,2,3,21,8,0,0,0,0,28,3,26,2,5,0,0,10
34,Gail,Patt,Boston University,Science,Boston,MA,2.6,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Stormy,Attaway,Boston University,Engineering,Boston,MA,3.7,69,2.1,2,5,11,0,6,9,13,0,0,0,9,5,0,1,0,5,0,0,1,1
36,Christine,Rossell,Boston University,Political Science,Boston,MA,4.3,N/,2.4,1,1,0,0,3,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
37,David,Eckel,Boston University,Theology,Boston,MA,3.7,N/,3.1,1,6,0,0,3,4,3,6,0,1,0,0,0,0,1,0,4,1,0,1
38,Allison,Adair,Boston University,English,Boston,MA,4.4,N/,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
39,Carl,Ruck,Boston University,Classics,Boston,MA,2.5,N/,3.2,0,0,0,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
40,Glen,Hall,Boston University,Ma,Boston,MA,3.5,61,4.0,3,1,6,2,0,0,7,1,3,2,0,2,6,2,2,3,1,0,0,8
41,William,Keylor,Boston University,International Studies,Boston,MA,4.7,N/,2.9,0,4,0,0,2,0,0,1,0,0,0,2,1,0,3,0,1,0,0,0
42,Michael,Manove,Boston University,Economics,Boston,MA,3.6,54,2.6,3,5,6,4,1,2,17,0,8,11,0,9,4,1,2,29,3,0,0,14
43,Uwe,Beffert,Boston University,Biology,Boston,MA,4.4,88,4.0,34,15,0,20,37,5,22,3,2,15,1,21,3,0,20,25,16,1,0,23
44,Roye,Wates,Boston University,Music,Boston,MA,3.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Diane,Allenberg,Boston University,English,Boston,MA,4.3,N/,3.0,7,3,0,1,1,1,1,4,0,0,0,0,0,0,2,1,5,0,0,10
46,Ted,Fitts,Boston University,Writing,Boston,MA,4.3,71,3.5,12,5,2,3,10,7,5,2,1,0,0,0,1,0,1,0,8,0,2,15
47,Thomas,Keyes,Boston University,Chemistry,Boston,MA,1.8,25,3.9,0,1,4,3,7,3,2,0,0,3,0,2,0,0,0,4,3,4,0,13
48,Laura,Ress,Boston University,English,Boston,MA,3.5,43,3.9,1,0,2,0,5,4,1,2,0,0,0,0,1,0,0,1,0,0,1,8
49,James,Devlin,Boston University,Philosophy,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Maria,Gapotchenko,Boston University,English,Boston,MA,3.1,57,4.1,5,1,2,0,5,2,2,2,0,0,0,1,1,0,0,0,2,0,0,7
51,Louis,Bianco,Boston University,Ma,Boston,MA,4.1,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Fabio,Idrobo,Boston University,Psychology,Boston,MA,3.2,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,James,Pasto,Boston University,Humanities,Boston,MA,4.3,92,2.5,13,4,0,8,3,1,0,0,0,0,0,1,0,0,0,0,12,0,2,0
54,Rosina,Georgiadis,Boston University,Chemistry,Boston,MA,2.0,24,4.0,1,0,5,2,4,3,10,1,1,5,0,2,0,9,0,5,2,0,0,13
55,Fred,Kleiner,Boston University,History,Boston,MA,4.1,N/,3.1,0,1,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,1
56,David,Shawn,Boston University,Writing,Boston,MA,3.2,100,3.7,7,2,1,2,1,5,2,0,0,0,0,0,0,0,0,0,6,0,3,6
57,Brad,Queen,Boston University,English,Boston,MA,3.8,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,J.,Michael,Boston University,Writing,Boston,MA,3.0,50,3.6,6,0,0,3,6,1,0,0,1,0,0,0,2,0,2,4,1,0,1,9
59,Ken,Chung,Boston University,Ma,Boston,MA,3.4,57,3.1,1,3,1,0,1,1,22,5,11,7,1,6,11,1,7,5,0,0,0,16
60,L.,J.,Boston University,Classics,Boston,MA,4.7,100,3.5,1,1,0,0,1,0,4,2,0,0,0,0,7,0,6,0,1,0,1,2
61,Thomas,Villano,Boston University,English,Boston,MA,3.8,50,2.9,5,2,0,4,4,2,3,1,3,0,0,1,1,0,1,3,1,0,1,3
62,Kimberly,Saudino,Boston University,Psychology,Boston,MA,2.9,N/,3.5,0,1,2,0,5,2,3,0,0,0,0,0,0,0,0,2,0,0,0,4
63,Alex,Golger,Boston University,Chemistry,Boston,MA,3.7,80,2.4,0,2,0,2,1,3,1,1,0,0,0,0,4,2,1,0,1,3,0,1
64,Bob,Devaney,Boston University,Ma,Boston,MA,3.5,60,3.4,2,2,2,0,2,0,10,0,1,0,0,0,1,0,4,0,0,0,0,12
65,Elizabeth,Co,Boston University,Biology,Boston,MA,4.2,72,3.8,3,11,2,6,2,5,30,10,4,8,0,13,0,0,21,17,8,4,0,20
66,Greg,DeFronzo,Boston University,Business,Boston,MA,4.9,100,3.2,40,34,0,26,1,25,2,16,0,1,0,22,13,0,4,0,48,11,0,1
67,David,Rohrlich,Boston University,Ma,Boston,MA,4.1,22,2.5,3,3,3,1,0,0,3,1,0,3,0,3,1,0,1,2,3,2,0,9
68,John,Schulz,Boston University,Communication,Boston,MA,2.6,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Arun,Moorthy,Boston University,Ma,Boston,MA,2.4,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Christopher,Cakebread,Boston University,Communication,Boston,MA,3.5,50,2.8,2,1,0,2,1,0,2,0,1,0,5,2,0,0,1,1,0,0,0,0
71,Charles,Griswold,Boston University,Philosophy,Boston,MA,4.2,100,3.0,4,8,0,3,8,2,3,8,0,0,0,1,2,0,6,3,3,0,0,0
72,Mina,Tsay-Vogel,Boston University,Communication,Boston,MA,4.9,100,3.9,7,4,0,2,1,2,0,17,0,1,1,4,1,0,13,1,8,1,0,1
73,Martin,Fido,Boston University,English,Boston,MA,3.7,N/,3.2,2,2,1,0,0,1,0,2,3,0,1,0,1,0,1,0,0,0,2,5
74,Laura,Brusetti,Boston University,Languages,Boston,MA,3.8,96,3.1,8,6,5,11,0,21,14,0,0,0,0,3,2,0,0,0,10,2,0,2
75,Peter,Arnold,Boston University,Business,Boston,MA,3.8,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Catherine,Caldwell-Harris,Boston University,Psychology,Boston,MA,2.6,N/,2.4,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0
77,Jonathan,Roberts,Boston University,History,Boston,MA,4.3,100,2.6,0,1,0,2,2,2,2,2,3,0,0,2,0,0,3,1,0,0,0,0
78,Eric,Widmaier,Boston University,Science,Boston,MA,4.7,80,3.6,1,10,0,0,5,0,9,1,0,0,0,2,0,0,7,0,0,0,0,3
79,Chris,Daly,Boston University,Communication,Boston,MA,4.8,N/,2.1,1,2,0,1,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1
80,Lisa,Sullivan,Boston University,Ma,Boston,MA,4.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,John,Fawell,Boston University,Humanities,Boston,MA,4.4,N/,3.5,2,1,0,0,1,5,0,1,0,0,0,1,4,0,2,0,0,0,0,3
82,Deborah,Kelemen,Boston University,Psychology,Boston,MA,3.8,N/,2.4,0,1,0,0,1,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0
83,Robert,Wexelblatt,Boston University,Philosophy,Boston,MA,4.5,N/,3.4,2,6,0,1,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0
84,Michael,Grant,Boston University,Psychology,Boston,MA,4.5,N/,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Chris,Walsh,Boston University,Literature,Boston,MA,4.5,100,2.9,9,1,1,1,0,0,1,3,1,0,0,0,3,0,0,0,2,0,0,2
86,Margaret,Hagen,Boston University,Psychology,Boston,MA,3.0,18,2.4,0,0,0,0,1,0,1,0,3,1,0,0,1,0,1,0,0,0,0,2
87,Michael,Fleming,Boston University,Psychology,Boston,MA,3.8,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Abu,Hasnath,Boston University,Geography,Boston,MA,2.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Juliet,Floyd,Boston University,Philosophy,Boston,MA,3.2,N/,3.1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
90,Christina,Michaud,Boston University,Writing,Boston,MA,2.8,20,3.6,5,0,3,0,1,7,4,0,0,0,0,0,0,0,1,0,1,0,0,10
91,William,Giraldi,Boston University,Writing,Boston,MA,4.5,100,3.2,5,4,0,1,7,8,0,2,0,0,0,0,2,0,1,0,5,0,0,1
92,David,Scott,Boston University,Political Science,Boston,MA,3.6,N/,2.8,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1
93,Duncan,FitzGerald,Boston University,Earth Science,Boston,MA,4.0,60,3.1,0,2,0,1,1,0,2,1,1,3,0,1,1,0,1,2,0,0,0,1
94,Aaron,Garrett,Boston University,Philosophy,Boston,MA,4.2,83,3.0,0,2,0,1,3,0,1,1,1,0,0,0,1,2,2,1,0,0,1,0
95,Peter,Rand,Boston University,Communication,Boston,MA,3.4,N/,3.0,5,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0,1,1
96,Geoffrey,Carliner,Boston University,Economics,Boston,MA,3.1,44,2.6,3,3,2,0,1,0,2,1,2,2,0,4,0,0,3,4,4,0,0,4
97,Manher,Jariwala,Boston University,Physics,Boston,MA,4.3,71,3.5,3,9,12,2,1,2,6,9,0,2,0,1,3,0,4,2,7,0,0,6
98,Leonid,Levin,Boston University,Computer Science,Boston,MA,1.6,N/,4.6,1,1,1,0,3,0,2,6,0,1,0,0,1,0,0,1,1,0,0,8
99,Deborah,Belle,Boston University,Psychology,Boston,MA,4.0,N/,2.2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
100,Christopher,Lehrich,Boston University,Humanities,Boston,MA,3.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Judson,Webb,Boston University,Philosophy,Boston,MA,2.7,N/,3.1,0,0,1,0,0,1,1,1,1,2,0,0,1,0,1,2,0,3,0,2
102,Ricardo,Elia,Boston University,Archaeology,Boston,MA,3.9,N/,2.3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0
103,Theodore,Chadwick,Boston University,Business,Boston,MA,3.6,50,3.2,0,2,3,0,0,2,6,1,1,3,0,0,2,0,2,0,0,0,0,3
104,Veronica,Ellis,Boston University,Communication,Boston,MA,2.5,17,4.0,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,8
105,Benjamin,Varat,Boston University,Social Science,Boston,MA,4.8,100,3.2,3,2,0,3,2,2,2,3,0,0,0,1,2,0,12,2,4,0,0,5
106,Ellen,Davis,Boston University,Communication,Boston,MA,3.3,N/,3.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,Cathal,Nolan,Boston University,History,Boston,MA,4.0,100,3.0,3,3,0,3,2,0,1,2,1,0,0,0,1,0,3,1,1,0,0,2
108,Frank,Fitzgerald,Boston University,Ma,Boston,MA,2.1,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Jenny,White,Boston University,Anthropology,Boston,MA,1.9,N/,3.6,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
110,Diane,Meuser,Boston University,Ma,Boston,MA,3.0,N/,3.1,1,1,3,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0
111,Larry,Kotlikoff,Boston University,Economics,Boston,MA,1.8,N/,4.0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2
112,Kabrina,Chang,Boston University,Law,Boston,MA,4.2,100,3.0,1,1,2,0,5,5,7,4,0,0,1,1,1,0,4,0,0,0,0,4
113,Thomas,A.,Boston University,Writing,Boston,MA,4.7,67,3.6,19,17,2,1,7,2,0,9,0,0,0,1,2,1,3,0,5,0,1,8
114,Joellen,Masters,Boston University,Humanities,Boston,MA,3.8,N/,3.7,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4
115,Brent,Baker,Boston University,Communication,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Michael,Danti,Boston University,Archaeology,Boston,MA,4.4,N/,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
117,Augusta,Llona,Boston University,Economics,Boston,MA,2.5,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,David,Randall,Boston University,Law,Boston,MA,4.7,N/,2.7,4,2,0,1,3,4,0,4,0,0,0,0,0,0,2,0,1,0,0,1
119,Thomas,Tullius,Boston University,Chemistry,Boston,MA,2.6,50,3.3,2,1,1,1,0,0,9,0,0,0,0,0,0,4,1,4,1,0,0,7
120,Jon,Barnes,Boston University,Languages,Boston,MA,3.9,50,2.7,1,1,9,1,1,0,3,0,0,0,0,0,1,0,1,2,0,1,0,4
121,Regina,Cati,Boston University,Economics,Boston,MA,3.0,88,3.5,7,2,1,7,2,2,3,0,1,2,0,1,1,1,4,2,6,1,0,5
122,Andrea,Mercurio,Boston University,Psychology,Boston,MA,4.5,86,2.5,5,12,0,4,0,4,5,1,0,0,0,6,13,1,5,1,9,0,0,3
123,Tasso,Kaper,Boston University,Ma,Boston,MA,3.8,88,2.9,7,4,2,1,2,0,1,1,1,0,0,5,4,0,1,3,4,0,0,1
124,Rosella,Marino,Boston University,Languages,Boston,MA,3.5,N/,2.7,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2
125,Peter,Diamandopoulos,Boston University,Philosophy,Boston,MA,2.3,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Alfred,Prock,Boston University,Chemistry,Boston,MA,2.5,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Millard,Baublitz,Boston University,Natural Sciences,Boston,MA,4.7,100,2.6,2,2,0,1,0,0,0,1,1,0,0,0,7,0,0,2,5,0,0,0
128,Allen,Speight,Boston University,Philosophy,Boston,MA,3.8,N/,3.1,1,2,1,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0
129,Sassan,Tabatabai,Boston University,Writing,Boston,MA,4.0,N/,2.6,1,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1
130,John,Snyder,Boston University,Science,Boston,MA,4.4,N/,4.5,1,2,0,1,0,0,3,1,0,1,0,0,2,1,3,0,0,0,0,3
131,Marisa,Milanese,Boston University,Writing,Boston,MA,4.8,100,3.6,14,5,2,2,3,4,1,6,0,0,0,3,0,0,0,0,10,0,0,3
132,Theodora,Goss,Boston University,English,Boston,MA,4.3,71,3.6,9,3,2,3,6,2,1,5,1,0,0,0,1,0,1,1,5,0,4,7
133,Francis,Monette,Boston University,Biology,Boston,MA,2.3,N/,4.1,0,0,1,0,10,0,4,0,0,0,0,0,0,1,0,2,0,0,0,14
134,Kevin,Stoehr,Boston University,Humanities,Boston,MA,2.8,33,3.4,1,0,0,0,3,3,4,0,1,0,0,0,0,1,0,1,2,0,0,5
135,Geoffrey,Abers,Boston University,Earth Science,Boston,MA,3.2,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Majed,Ashy,Boston University,Psychology,Boston,MA,3.8,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Kate,Burak,Boston University,Communication,Boston,MA,3.5,29,3.0,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,5,0,2,3
138,Kathryn,Bard,Boston University,History,Boston,MA,2.6,N/,3.0,0,0,0,0,6,0,9,1,2,1,0,0,0,0,0,7,0,0,0,5
139,Warren,Giering,Boston University,Chemistry,Boston,MA,3.1,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,David,Mostofsky,Boston University,Psychology,Boston,MA,2.5,N/,3.0,1,3,1,0,1,3,0,1,0,0,0,2,2,0,0,1,5,0,0,2
141,David,Somers,Boston University,Psychology,Boston,MA,4.3,N/,2.5,0,0,0,0,1,1,3,0,0,0,0,1,1,0,1,3,0,0,0,1
142,Paul,Lipton,Boston University,Psychology,Boston,MA,4.3,92,3.1,1,13,0,2,0,0,3,4,2,1,1,0,10,0,11,1,9,0,0,3
143,Emma,Previato,Boston University,Ma,Boston,MA,2.3,N/,3.6,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,3
144,Andrew,West,Boston University,Astronomy,Boston,MA,4.1,N/,3.2,0,1,0,0,0,0,5,1,0,0,0,2,2,0,5,0,0,0,0,5
145,Natalya,Bassina,Boston University,Chemistry,Boston,MA,4.7,100,2.3,5,2,1,1,0,2,3,0,0,0,0,0,1,1,1,0,1,0,0,3
146,Susan,Eckstein,Boston University,Social Science,Boston,MA,2.5,N/,3.1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
147,Boualem,Kezim,Boston University,Ma,Boston,MA,3.6,79,2.8,0,4,3,2,0,0,2,2,1,3,0,4,7,0,0,1,5,0,0,4
148,Michael,Ebeid,Boston University,Political Science,Boston,MA,3.2,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Jeff,Mason,Boston University,Communication,Boston,MA,4.7,100,2.5,5,3,0,0,0,2,0,1,0,0,0,2,3,0,0,0,2,3,0,1
150,Betty,Anderson,Boston University,History,Boston,MA,3.0,N/,4.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,4
151,Carol,Neidle,Boston University,Languages,Boston,MA,2.9,50,3.3,3,0,0,1,0,3,5,0,0,0,0,2,0,0,1,2,2,0,0,0
152,Robert,Pollack,Boston University,Ma,Boston,MA,4.9,100,2.4,3,6,4,2,0,0,2,5,0,1,0,0,4,0,9,2,4,0,0,2
153,Phyllis,McGinnis,Boston University,Business,Boston,MA,3.3,63,3.0,3,5,0,1,1,9,4,3,1,1,2,0,3,0,0,0,9,0,0,3
154,David,Roochnik,Boston University,Philosophy,Boston,MA,4.4,N/,3.4,0,3,0,0,1,2,6,4,1,0,0,0,4,2,1,0,0,0,0,2
155,Takashi,Kimura,Boston University,Ma,Boston,MA,3.5,10,3.2,0,0,1,0,0,0,1,0,1,3,0,1,0,0,1,1,1,0,0,6
156,Frank,Korom,Boston University,Religion,Boston,MA,3.2,14,2.8,0,0,1,0,3,1,4,0,3,0,0,0,0,2,0,3,0,0,0,4
157,Steve,Quigley,Boston University,Communication,Boston,MA,4.2,86,2.8,4,1,2,2,2,1,2,2,1,0,0,2,0,1,2,0,0,0,0,1
158,Sarah,Campbell,Boston University,English,Boston,MA,3.9,N/,2.7,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0
159,Alex,Levichev,Boston University,Ma,Boston,MA,2.4,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Andrew,Duffy,Boston University,Physics,Boston,MA,4.3,N/,3.1,0,2,0,2,0,0,4,1,0,0,0,1,2,0,0,0,0,0,0,3
161,John,McGrath,Boston University,Social Science,Boston,MA,4.3,80,2.8,0,0,0,0,2,1,2,2,1,0,1,0,0,0,0,4,0,0,0,1
162,Stephen,Prothero,Boston University,Humanities,Boston,MA,4.0,N/,2.3,0,1,0,0,3,4,1,1,0,0,0,0,2,0,4,0,1,0,0,0
163,Steve,Scheuerman,Boston University,Writing,Boston,MA,4.6,N/,2.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
164,Allison,Blyler,Boston University,Writing,Boston,MA,4.1,80,2.3,9,2,0,3,3,2,0,0,0,0,0,0,0,0,0,1,5,0,1,3
165,Thomas,Berger,Boston University,International Studies,Boston,MA,2.6,N/,3.5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
166,Rebecca,Nichols,Boston University,Management,Boston,MA,3.7,60,3.6,4,3,1,2,4,17,10,0,1,0,7,1,0,0,3,1,3,0,0,15
167,Tom,Whalen,Boston University,History,Boston,MA,4.7,N/,2.4,1,2,0,0,0,0,1,0,0,0,0,1,1,0,3,0,1,0,0,2
168,David,Green,Boston University,English,Boston,MA,4.3,N/,3.1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
169,Stephen,Esposito,Boston University,Humanities,Boston,MA,4.4,N/,2.7,1,1,2,0,6,3,2,2,0,0,0,0,0,2,2,0,0,6,2,1
170,Barbara,Gottfried,Boston University,Women's Studies,Boston,MA,3.1,80,3.1,1,0,0,1,2,3,0,0,1,0,0,0,2,0,2,0,1,0,1,1
171,Mark,Williams,Boston University,Finance,Boston,MA,4.6,100,3.1,7,16,0,8,4,10,2,11,1,0,0,2,3,0,17,0,6,0,0,1
172,Cutler,Cleveland,Boston University,Science,Boston,MA,4.0,N/,3.0,0,3,0,0,2,1,2,1,1,1,0,2,0,0,1,4,0,0,0,5
173,Theo,Dewinter,Boston University,Engineering,Boston,MA,3.5,33,2.7,0,1,7,1,1,1,8,1,1,1,3,1,1,0,0,6,0,0,0,5
174,Edward,J.,Boston University,Communication,Boston,MA,4.0,73,2.4,1,4,2,3,8,2,6,2,0,0,1,4,1,0,5,2,3,3,0,2
