FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
Uwe,Beffert,Boston University,Biology,Boston,MA,4.4,88,4,34,15,0,20,37,5,22,3,2,15,1,21,3,0,20,25,16,1,0,23,104,1992672,0,2598,0,male
Roye,Wates,Boston University,Music,Boston,MA,3.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,67906,2604,0,1,female
Diane,Allenberg,Boston University,English,Boston,MA,4.3,N/,3,7,3,0,1,1,1,1,4,0,0,0,0,0,0,2,1,5,0,0,10,102,67947,3142,0,1,female
Ted,Fitts,Boston University,Writing,Boston,MA,4.3,71,3.5,12,5,2,3,10,7,5,2,1,0,0,0,1,0,1,0,8,0,2,15,101,480763,0,2188,0,male
Thomas,Keyes,Boston University,Chemistry,Boston,MA,1.8,25,3.9,0,1,4,3,7,3,2,0,0,3,0,2,0,0,0,4,3,4,0,13,101,171900,48,2141,0.021927821,male
Laura,Ress,Boston University,English,Boston,MA,3.5,43,3.9,1,0,2,0,5,4,1,2,0,0,0,0,1,0,0,1,0,0,1,8,99,55790,2724,0,1,female
James,Devlin,Boston University,Philosophy,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,70994,0,1538,0,male
Maria,Gapotchenko,Boston University,English,Boston,MA,3.1,57,4.1,5,1,2,0,5,2,2,2,0,0,0,1,1,0,0,0,2,0,0,7,98,86082,2774,0,1,female
Louis,Bianco,Boston University,Ma,Boston,MA,4.1,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,57550,0,1536,0,male
Fabio,Idrobo,Boston University,Psychology,Boston,MA,3.2,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,78305,0,1517,0,male
James,Pasto,Boston University,Humanities,Boston,MA,4.3,92,2.5,13,4,0,8,3,1,0,0,0,0,0,1,0,0,0,0,12,0,2,0,97,268697,14,1963,0.007081437,male
Rosina,Georgiadis,Boston University,Chemistry,Boston,MA,2,32,4,2,0,5,4,4,3,10,1,1,5,0,2,0,10,0,5,2,0,0,13,99,287922,3329,48,0.985786201,female
Fred,Kleiner,Boston University,History,Boston,MA,4.1,N/,3.1,0,1,0,0,1,0,0,0,2,0,0,1,1,0,2,1,1,0,0,1,96,67919,34,1226,0.026984127,male
David,Shawn,Boston University,Writing,Boston,MA,3.2,100,3.7,7,2,1,2,1,5,2,0,0,0,0,0,0,0,0,0,6,0,3,6,95,68184,15,1974,0.007541478,male
Brad,Queen,Boston University,English,Boston,MA,3.8,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,76333,0,1117,0,male
J.,Michael,Boston University,Writing,Boston,MA,3,50,3.6,6,0,0,3,6,1,0,0,1,0,0,0,2,0,2,4,1,0,1,9,93,68917,0,2024,0,male
Ken,Chung,Boston University,Ma,Boston,MA,3.4,57,3.1,1,3,1,0,1,1,22,5,11,7,1,6,11,1,7,5,0,0,0,16,92,827911,0,2026,0,male
L.,J.,Boston University,Classics,Boston,MA,4.7,100,3.5,1,1,0,0,1,0,4,2,0,0,0,0,7,0,6,0,1,0,1,2,91,8903,0,1651,0,male
Thomas,Villano,Boston University,English,Boston,MA,3.8,50,2.9,5,2,0,4,4,2,3,1,3,0,0,1,1,0,1,3,1,0,1,3,91,91031,0,2138,0,male
Kimberly,Saudino,Boston University,Psychology,Boston,MA,2.9,N/,3.5,0,1,2,0,5,2,3,0,0,0,0,0,0,0,0,2,0,0,0,4,91,55800,1240,8,0.993589744,female
Alex,Golger,Boston University,Chemistry,Boston,MA,3.7,80,2.4,0,2,0,2,1,3,1,1,0,0,0,0,4,2,1,0,1,3,0,1,88,71143,0,1275,0,male
Bob,Devaney,Boston University,Ma,Boston,MA,3.5,60,3.4,2,2,2,0,2,0,10,0,1,0,0,0,1,0,4,0,0,0,0,12,86,131528,0,1587,0,male
Elizabeth,Co,Boston University,Biology,Boston,MA,4.2,72,3.8,3,11,2,6,2,5,30,10,4,8,0,13,0,0,21,17,8,4,0,20,87,1786416,3163,0,1,female
Greg,DeFronzo,Boston University,Business,Boston,MA,4.9,100,3.2,40,34,0,26,1,25,2,16,0,1,0,22,13,0,4,0,48,11,0,1,86,1982095,0,1603,0,male
David,Rohrlich,Boston University,Ma,Boston,MA,4.1,22,2.5,3,3,3,1,0,0,3,1,0,3,0,3,1,0,1,2,3,2,0,9,85,47064,0,1614,0,male
John,Schulz,Boston University,Communication,Boston,MA,2.6,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,104263,0,1233,0,male
Arun,Moorthy,Boston University,Ma,Boston,MA,2.4,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,270768,0,1693,0,male
Christopher,Cakebread,Boston University,Communication,Boston,MA,3.5,50,2.8,2,1,0,2,1,0,2,0,1,0,5,2,0,0,1,1,0,0,0,0,84,54575,0,1637,0,male
Charles,Griswold,Boston University,Philosophy,Boston,MA,4.2,100,3,4,8,0,3,8,2,3,8,0,0,0,1,2,0,6,3,3,0,0,0,84,115090,24,1478,0.015978695,male
Mina,Tsay-Vogel,Boston University,Communication,Boston,MA,4.9,100,3.9,7,4,0,2,1,2,0,17,0,1,1,4,1,0,13,1,8,1,0,1,84,1370131,2906,0,1,female
Martin,Fido,Boston University,English,Boston,MA,3.7,N/,3.2,2,2,1,0,0,1,0,2,3,0,1,0,1,0,1,0,0,0,2,5,83,67918,0,2018,0,male
Laura,Brusetti,Boston University,Languages,Boston,MA,3.8,96,3.1,8,6,5,11,0,21,14,0,0,0,0,3,2,0,0,0,10,2,0,2,81,76341,2131,0,1,female
Peter,Arnold,Boston University,Business,Boston,MA,3.8,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,71952,27,1264,0.02091402,male
Catherine,Caldwell-Harris,Boston University,Psychology,Boston,MA,2.6,N/,2.4,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,80,1649627,1927,0,1,female
Jonathan,Roberts,Boston University,History,Boston,MA,4.3,100,2.6,0,1,0,2,2,2,2,2,3,0,0,2,0,0,3,1,0,0,0,0,80,69425,34,1606,0.020731707,male
Eric,Widmaier,Boston University,Science,Boston,MA,4.7,80,3.6,1,10,0,0,5,0,9,1,0,0,0,2,0,0,7,0,0,0,0,3,79,175784,0,1587,0,male
Chris,Daly,Boston University,Communication,Boston,MA,4.8,N/,2.1,1,2,0,1,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,78,50676,9,956,0.009326425,male
Lisa,Sullivan,Boston University,Ma,Boston,MA,4.8,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,68913,1350,18,0.986842105,female
John,Fawell,Boston University,Humanities,Boston,MA,4.4,N/,3.5,2,1,0,0,1,5,0,1,0,0,0,1,4,0,2,0,0,0,0,3,78,114808,0,1429,0,male
Deborah,Kelemen,Boston University,Psychology,Boston,MA,3.8,N/,2.4,0,1,0,0,1,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,77,67912,1268,0,1,female
Robert,Wexelblatt,Boston University,Philosophy,Boston,MA,4.5,N/,3.4,2,6,0,1,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,77,72165,33,1594,0.020282729,male
Michael,Grant,Boston University,Psychology,Boston,MA,4.5,N/,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,479456,0,1487,0,male
Chris,Walsh,Boston University,Literature,Boston,MA,4.5,100,2.9,9,1,1,1,0,0,1,3,1,0,0,0,3,0,0,0,2,0,0,2,75,74633,0,1291,0,male
Margaret,Hagen,Boston University,Psychology,Boston,MA,3,18,2.4,0,0,0,0,1,0,1,0,3,1,0,0,1,0,1,0,0,0,0,2,75,86883,1754,0,1,female
Michael,Fleming,Boston University,Psychology,Boston,MA,3.8,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,68064,0,1588,0,male
Abu,Hasnath,Boston University,Geography,Boston,MA,2.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,68583,0,1089,0,male
Juliet,Floyd,Boston University,Philosophy,Boston,MA,3.2,N/,3.1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,74,68925,1737,17,0.990307868,female
Christina,Michaud,Boston University,Writing,Boston,MA,2.8,20,3.6,5,0,3,0,1,7,4,0,0,0,0,0,0,0,1,0,1,0,0,10,75,839989,1547,0,1,female
William,Giraldi,Boston University,Writing,Boston,MA,4.6,100,3.2,5,4,0,1,7,8,0,2,0,0,0,0,2,0,1,0,5,0,0,1,72,797802,0,2185,0,male
David,Scott,Boston University,Political Science,Boston,MA,3.6,N/,2.8,0,2,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,71,42156,0,802,0,male
Duncan,FitzGerald,Boston University,Earth Science,Boston,MA,4,60,3.1,0,2,0,1,1,0,2,1,1,3,0,1,1,0,1,2,0,0,0,1,71,55803,0,936,0,male
Aaron,Garrett,Boston University,Philosophy,Boston,MA,4.2,83,3,0,2,0,1,3,0,1,1,1,0,0,0,1,2,2,1,0,0,1,0,71,68114,0,762,0,male
Peter,Rand,Boston University,Communication,Boston,MA,3.4,N/,3,5,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,1,0,1,1,71,90606,0,1590,0,male
Geoffrey,Carliner,Boston University,Economics,Boston,MA,3.1,44,2.6,3,3,2,0,1,0,2,1,2,2,0,4,0,0,3,4,4,0,0,4,71,372951,0,1353,0,male
Manher,Jariwala,Boston University,Physics,Boston,MA,4.3,71,3.5,3,9,12,2,1,2,6,9,0,2,0,1,3,0,4,2,7,0,0,6,71,1047247,0,1489,0,male
Leonid,Levin,Boston University,Computer Science,Boston,MA,1.6,N/,4.6,1,1,1,0,3,0,2,6,0,1,0,0,1,0,0,1,1,0,0,8,71,179620,0,1260,0,male
Deborah,Belle,Boston University,Psychology,Boston,MA,4,N/,2.2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,70,67956,1105,0,1,female
Christopher,Lehrich,Boston University,Humanities,Boston,MA,3.7,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,67991,0,1120,0,male
Judson,Webb,Boston University,Philosophy,Boston,MA,2.7,N/,3.1,0,0,1,0,0,1,1,1,1,2,0,0,1,0,1,2,0,3,0,2,69,67923,38,1233,0.029897718,male
Ricardo,Elia,Boston University,Archaeology,Boston,MA,3.9,N/,2.3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,69,73377,0,483,0,male
Theodore,Chadwick,Boston University,Business,Boston,MA,3.6,56,3.2,0,3,3,0,0,2,7,1,1,3,0,0,3,0,2,0,0,0,0,3,70,74168,0,1052,0,male
Veronica,Ellis,Boston University,Communication,Boston,MA,2.5,17,4,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,8,69,113192,2082,0,1,female
Benjamin,Varat,Boston University,Social Science,Boston,MA,4.8,100,3.2,3,2,0,3,2,2,2,3,0,0,0,1,2,0,12,2,4,0,0,5,69,161789,0,1731,0,male
Ellen,Davis,Boston University,Communication,Boston,MA,3.3,N/,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,68057,1575,0,1,female
Cathal,Nolan,Boston University,History,Boston,MA,4,100,3,3,3,0,3,2,0,1,2,1,0,0,0,1,0,3,1,1,0,0,2,68,75969,0,1160,0,male
Frank,Fitzgerald,Boston University,Ma,Boston,MA,2.1,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,43261,24,854,0.027334852,male
Jenny,White,Boston University,Anthropology,Boston,MA,1.9,N/,3.6,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,67,67926,1561,0,1,female
Diane,Meuser,Boston University,Ma,Boston,MA,3,N/,3.1,1,1,3,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,67,68516,1523,0,1,female
Larry,Kotlikoff,Boston University,Economics,Boston,MA,1.8,N/,4,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,2,67,68655,0,1102,0,male
Kabrina,Chang,Boston University,Law,Boston,MA,4.2,100,3,1,1,2,0,5,5,7,4,0,0,1,1,1,0,4,0,0,0,0,4,66,121561,1635,0,1,female
Thomas,A.,Boston University,Writing,Boston,MA,4.7,67,3.6,19,17,2,1,7,2,0,9,0,0,0,1,2,1,3,0,5,0,1,8,66,1096366,0,1938,0,male
Joellen,Masters,Boston University,Humanities,Boston,MA,3.8,N/,3.7,1,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,65,60419,1537,0,1,female
Brent,Baker,Boston University,Communication,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,67430,0,231,0,male
Michael,Danti,Boston University,Archaeology,Boston,MA,4.4,N/,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,65,483730,18,1112,0.015929204,male
Augusta,Llona,Boston University,Economics,Boston,MA,2.5,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,67949,0,404,0,male
David,Randall,Boston University,Law,Boston,MA,4.7,N/,2.7,4,2,0,1,3,4,0,4,0,0,0,0,0,0,2,0,1,0,0,1,64,68968,0,1113,0,male
Thomas,Tullius,Boston University,Chemistry,Boston,MA,2.6,50,3.3,2,1,1,1,0,0,9,0,0,0,0,0,0,4,1,4,1,0,0,7,64,79303,0,929,0,male
Jon,Barnes,Boston University,Languages,Boston,MA,3.9,50,2.7,1,1,9,1,1,0,3,0,0,0,0,0,1,0,1,2,0,1,0,4,64,81120,0,1196,0,male
Regina,Cati,Boston University,Economics,Boston,MA,3,88,3.5,8,3,1,8,2,2,3,0,1,2,0,1,1,1,4,2,6,1,0,5,65,158975,2016,19,0.990663391,female
Andrea,Mercurio,Boston University,Psychology,Boston,MA,4.5,86,2.5,5,12,0,4,0,4,5,1,0,0,0,6,13,1,5,1,9,0,0,3,64,1104906,2153,0,1,female
Tasso,Kaper,Boston University,Ma,Boston,MA,3.8,88,2.9,7,4,2,1,2,0,1,1,1,0,0,5,4,0,1,3,4,0,0,1,63,68112,0,1137,0,male
Rosella,Marino,Boston University,Languages,Boston,MA,3.5,N/,2.7,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,63,76070,1578,16,0.989962359,female
Peter,Diamandopoulos,Boston University,Philosophy,Boston,MA,2.3,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,84196,0,1285,0,male
Alfred,Prock,Boston University,Chemistry,Boston,MA,2.5,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1148794,0,889,0,male
Millard,Baublitz,Boston University,Natural Sciences,Boston,MA,4.7,100,2.6,2,2,0,1,0,0,0,1,1,0,0,0,7,0,0,2,5,0,0,0,62,60420,0,868,0,male
Allen,Speight,Boston University,Philosophy,Boston,MA,3.8,N/,3.1,1,2,1,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,63,75666,34,852,0.038374718,male
Sassan,Tabatabai,Boston University,Writing,Boston,MA,4,N/,2.6,1,1,0,0,2,1,0,1,0,0,0,0,2,0,0,0,1,0,0,1,62,96226,0,1186,0,male
John,Snyder,Boston University,Science,Boston,MA,4.4,N/,4.5,1,2,0,1,0,0,3,1,0,1,0,0,2,1,3,0,0,0,0,3,62,68018,28,733,0.036793693,male
Marisa,Milanese,Boston University,Writing,Boston,MA,4.8,100,3.6,15,5,2,3,3,4,1,7,0,0,0,3,0,0,0,0,10,0,0,3,63,786724,2228,0,1,female
Theodora,Goss,Boston University,English,Boston,MA,4.3,71,3.6,9,3,2,3,6,2,1,5,1,0,0,0,1,0,1,1,5,0,4,7,61,79304,2099,0,1,female
Francis,Monette,Boston University,Biology,Boston,MA,2.3,N/,4.1,0,0,1,0,10,0,4,0,0,0,0,0,0,1,0,2,0,0,0,14,61,1360809,56,1405,0.038329911,male
Kevin,Stoehr,Boston University,Humanities,Boston,MA,2.8,33,3.4,1,0,0,0,3,3,4,0,1,0,0,0,0,1,0,1,2,0,0,5,61,146372,0,1466,0,male
Geoffrey,Abers,Boston University,Earth Science,Boston,MA,3.2,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,49164,0,403,0,male
Majed,Ashy,Boston University,Psychology,Boston,MA,3.8,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,57703,0,414,0,male
Kate,Burak,Boston University,Communication,Boston,MA,3.5,29,3,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,5,0,2,3,60,68589,1710,0,1,female
Kathryn,Bard,Boston University,History,Boston,MA,2.6,N/,3,0,0,0,0,6,0,9,1,2,1,0,0,0,0,0,7,0,0,0,5,60,68651,1592,0,1,female
Warren,Giering,Boston University,Chemistry,Boston,MA,3.1,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,70341,0,845,0,male
David,Mostofsky,Boston University,Psychology,Boston,MA,2.5,N/,3,1,3,1,0,1,3,0,1,0,0,0,2,2,0,0,1,5,0,0,2,60,255384,74,1107,0.062658764,male
David,Somers,Boston University,Psychology,Boston,MA,4.3,N/,2.5,0,0,0,0,1,1,3,0,0,0,0,1,1,0,1,3,0,0,0,1,59,177255,0,1000,0,male
Paul,Lipton,Boston University,Psychology,Boston,MA,4.3,92,3.1,1,13,0,2,0,0,3,4,2,1,1,0,10,0,11,1,9,0,0,3,59,267294,0,1086,0,male
Emma,Previato,Boston University,Ma,Boston,MA,2.3,N/,3.6,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,3,59,273527,1747,80,0.95621237,female
Andrew,West,Boston University,Astronomy,Boston,MA,4.1,N/,3.2,0,1,0,0,0,0,5,1,0,0,0,2,2,0,5,0,0,0,0,5,59,1381604,0,1017,0,male
Natalya,Bassina,Boston University,Chemistry,Boston,MA,4.7,100,2.3,5,2,1,1,0,2,3,0,0,0,0,0,1,1,1,0,1,0,0,3,59,473316,1762,0,1,female
Susan,Eckstein,Boston University,Social Science,Boston,MA,2.5,N/,3.1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,59,80945,1497,0,1,female
Boualem,Kezim,Boston University,Ma,Boston,MA,3.6,79,2.8,0,4,3,2,0,0,2,2,1,3,0,4,7,0,0,1,5,0,0,4,59,1200432,0,984,0,male
Michael,Ebeid,Boston University,Political Science,Boston,MA,3.2,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,44540,0,554,0,male
Jeff,Mason,Boston University,Communication,Boston,MA,4.7,100,2.5,5,3,0,0,0,2,0,1,0,0,0,2,3,0,0,0,2,3,0,1,58,67931,0,1283,0,male
