,Name,ID
99,"Belle, Deborah",67956
100,"Lehrich, Christopher",67991
101,"Webb, Judson",67923
102,"Elia, Ricardo",73377
103,"Chadwick, Theodore",74168
104,"Ellis, Veronica",113192
105,"Varat, Benjamin",161789
106,"Davis, Ellen",68057
107,"Nolan, Cathal",75969
108,"Fitzgerald, Frank",43261
109,"White, Jenny",67926
110,"Meuser, Diane",68516
111,"Kotlikoff, Larry",68655
112,"Chang, Kabrina",121561
113,"Underwood, Thomas A.",1096366
114,"Masters, Joellen",60419
115,"Baker, Brent",67430
116,"Danti, Michael",483730
117,"Llona, Augusta",67949
118,"Randall, David",68968
119,"Tullius, Thomas",79303
120,"Barnes, Jon",81120
121,"Cati, Regina",158975
122,"Mercurio, Andrea",1104906
123,"Kaper, Tasso",68112
124,"Marino, Rosella",76070
125,"Diamandopoulos, Peter",84196
126,"Prock, Alfred",1148794
127,"Baublitz, Millard",60420
128,"Speight, Allen",75666
129,"Tabatabai, Sassan",96226
130,"Snyder, John",68018
131,"Milanese, Marisa",786724
132,"Goss, Theodora",79304
133,"Monette, Francis",1360809
134,"Stoehr, Kevin",146372
135,"Abers, Geoffrey",49164
136,"Ashy, Majed",57703
137,"Burak, Kate",68589
138,"Bard, Kathryn",68651
139,"Giering, Warren",70341
140,"Mostofsky, David",255384
141,"Somers, David",177255
142,"Lipton, Paul",267294
143,"Previato, Emma",273527
144,"West, Andrew",1381604
145,"Bassina, Natalya",473316
146,"Eckstein, Susan",80945
147,"Kezim, Boualem",1200432
148,"Ebeid, Michael",44540
149,"Mason, Jeff",67931
150,"Anderson, Betty",68954
151,"Neidle, Carol",86878
152,"Pollack, Robert",506097
153,"McGinnis, Phyllis",285992
154,"Roochnik, David",70055
155,"Kimura, Takashi",68095
156,"Korom, Frank",93993
157,"Quigley, Steve",68068
158,"Campbell, Sarah",68144
159,"Levichev, Alex",78770
160,"Duffy, Andrew",81010
161,"McGrath, John",104280
162,"Prothero, Stephen",270190
163,"Scheuerman, Steve",327632
164,"Blyler, Allison",470508
165,"Berger, Thomas",487976
166,"Nichols, Rebecca",1005869
167,"Whalen, Tom",67888
168,"Green, David",67965
169,"Esposito, Stephen",68006
170,"Gottfried, Barbara",75960
171,"Williams, Mark",312225
172,"Cleveland, Cutler",95411
173,"Dewinter, Theo",11010
174,"Downes, Edward J.",68017
175,"Livni, Aline",96782
176,"Hudon, Daniel",271631
177,"Cole, Rick",275471
178,"Zelizer, Julian",378215
179,"Prentice, Jason",816216
180,"Loechler, Edward",305968
181,"Dahlstrom, Daniel O.",67898
182,"Hall, John",75156
183,"Nelson, Stephanie",77614
184,"Boots, Cheryl",90629
185,"Weinstein, Georgia",122996
186,"Eldred, William",170251
187,"Passacantando, Mark",613999
188,"Wu, Eng",743493
189,"Blanchard, Paul",150281
190,"Go, Julian",403298
191,"Smith, Melanie",1187195
192,"Neuberg, Leland",142198
193,"Tilchin, William",163569
194,"Mohanty, Raj",221944
195,"Hopp, Walter",714429
196,"Chibnik, Lori",755766
197,"Campbell, Ben",67886
198,"Coles, Drue",67945
199,"Wallace, Anthony",67988
200,"Shirakawa, Zenryu",68365
201,"Marchant, David",76601
202,"Lasarte, Pedro",86887
203,"Lee, Ming-Chang",148339
204,"Balser, Diane",67973
205,"Gerring, John",44532
206,"Lozano, Elizabeth",68067
207,"Martin, Cathie Jo",75841
208,"Andres, Leonard",92255
209,"Lucas, Robert",228382
210,"Fahy, Christopher",243303
211,"Baldwin, James",308142
212,"Dorff, Susan",95151
213,"Wilson, Ray",149327
214,"Huynh, Hsueh-Ling",240483
215,"Utter, Deborah",257178
216,"Snyder, Wayne",224558
217,"Hanselman, Sarah",1180978
218,"Phillips, Sarah",80931
219,"Gilchrist, Simon",85749
220,"Rizova, Polly",94723
221,"Bennett, Carrie",472269
222,"Lawler, Richard",480209
223,"Elliott, Sean",836627
224,"Golder, Herb",287856
225,"Anderson, Bruce",68994
226,"Levine, Robert",69066
227,"Klepper, Deeana",73758
228,"Tate, Phil",79651
229,"Oshins, Mike",92539
230,"Keller, Simon",104915
231,"Shawver, Brian",273103
232,"Griffin, Sue",507045
233,"Supa, Dustin",1629011
234,"Anastasi, Tom",55793
235,"Schneider, Chris",67907
236,"Monti, Daniel",69296
237,"Monk, Leland",71485
238,"Hawkes, Leslie",79102
239,"Myers, Samantha",85279
240,"Kohn, Tomas",86055
241,"Hammer, Samuel",172072
242,"Yoder, Lesley",205446
243,"Pencina, Michael",287937
244,"Cooper, Geoffrey",296134
245,"Persaud, Brian",1491439
246,"Szczesny, Maciej",787083
247,"Allen, Jeff",326402
248,"Voskeritchian, Taline",70475
249,"Wayne, Eugene",68113
250,"Murray, Rick",68125
251,"Celenza, Chip",190258
252,"Swanson, Judith",75968
253,"Geifman, Anna",44538
254,"Kanamori, Aki",44739
255,"Clarke, John",68921
256,"Bania, Thomas",84579
257,"Kon, Mark",92253
258,"Hausman, Robert",97466
259,"Donovan, Frederique",256564
260,"Westling, Jon",259891
261,"Kohl, Timothy",281363
262,"Schmidt, James",390039
263,"McConville, Brendan",484120
264,"Barents, Kevin",688447
265,"Vo, Theo",2041324
266,"Myneni, Ranga",322847
267,"Switala, Andre",2015163
268,"Alhadeff, Beate",75947
269,"Lukes, Igor",87224
270,"Lobel, Diana",94557
271,"Caradonna, John",385691
272,"Meyer, Liam",469568
273,"Martin, Kathleen",487795
274,"Hoover, Michelle",1269100
275,"Wells, Erika",2036206
276,"Koskinen, Benjamin",1938507
277,"Dowding, Michael",68009
278,"Malley-Morrison, Kathleen",76248
279,"Corrin, Jay",111316
280,"Porco, John",256818
281,"Roberts, Mark",400806
282,"West, Doe",811776
283,"Chehabi, Houchang",858280
284,"Trosky, Abram",969171
285,"Coulter, Jeff",1076198
286,"Saturno, William",1187237
287,"Reinhard, Bjorn",1322989
288,"Chang, Charles",2114976
289,"Riquelme, John Paul",54576
290,"Marcucella, Henry",67928
291,"Ryckebosch, Frans",68424
292,"Zimansky, Paul",68565
293,"Richardson, Robert",68956
294,"Matta, Ibrahim",69510
295,"Johnson, James",70058
296,"Richardson, Mark",102746
297,"Katz, Steven",268798
298,"Caswell, Matthew",275273
299,"Nagem, Ray",381035
300,"Diyanni, Cara",584209
301,"Cogan, Gina",757813
302,"Avizienis, Jura",1193148
303,"Desilva, Jeremy",1395805
304,"Arkin, Kimberly",1082503
305,"Nangle, Richard",67934
306,"Barfield, Thomas",75941
307,"Lehr, Donna",80196
308,"Breiner, Larry",93638
309,"Posner, Michael",98371
310,"Van Anglen, Kevin",171789
311,"Grinstaff, Mark",267022
312,"Mayers, David",274845
313,"Durschlag, Roberta",282485
314,"Grasso, Jim",1623634
315,"Hodin, Stephen",169869
316,"Abate, Maria",90603
317,"Kalathur, Suresh",294817
318,"Forgione, Perry",67937
319,"Swartz, David",68042
320,"Varhelyi, Zsuzsanna",68137
321,"Huckle, Nicholas",68858
322,"Kort, Michael",73059
323,"Alexander, Rebecca",79106
324,"Bacevich, Andrew",110241
325,"Vail, Jeffery",179923
326,"Schoch, Robert M.",187306
327,"Villanueva, Tino",188004
328,"Byers, John",273774
329,"Zank, Michael",276001
330,"Clark, Carolyn",286115
331,"Duehr, Gary",296415
332,"Reyzin, Leonid",351920
333,"Marx, William",1072225
334,"Anderson, Ingrid",1199288
335,"Bestavros, Azer",68630
336,"Ribner, Jonathan",175960
337,"Kahn, Deborah",67920
338,"Gopal, Suchi",68050
339,"Johnson, Patricia",68136
340,"Fritz, Theodore",68990
341,"Coleman, Kay",72325
342,"Marscher, Alan",76202
343,"Gillman, Abigail",76397
344,"Sweeting, Adam",79206
345,"Griner, Kathryn",137388
346,"Rubin, Jeffrey",138735
347,"Temkin, Anatoly",218232
348,"Tompson, Martha",310005
349,"Stewart, Mathew",340772
350,"Pederson, Joshua",375571
351,"Ready, Tinker",782465
352,"Asadoorian, Ann Marie",782929
353,"Knott, Cheryl",1268187
354,"Arreguin-Toft, Ivan",1418970
355,"Loy, Rebecca",1751070
356,"Gangopadhyay, Ashis",264426
357,"Grimes, William",94982
358,"Goldstein, Erik",274295
359,"Finlayson, Raleigh",1184676
360,"Runnels, Curtis",68060
361,"Kfoury, Assaf",68898
362,"Cote, Rita",189128
363,"Cohen, Joshua",215283
364,"Herling, Brad",274143
365,"Thacker, Strom",368733
366,"MacKey, John",496722
367,"Kordonowy, Gwen",1207335
368,"Yoder, Lesley",1959221
369,"Ling, Sam",2056729
370,"Lapets, Andrei",1784534
371,"Osher, Keith",101062
372,"Azadeh Ranjbar, Vahid",2272729
373,"Xi, Hongwei",472501
374,"Gacs, Peter",7860
375,"Shipton, Parker",68905
376,"Stone, John",70471
377,"Crosby, Alan",81698
378,"Skocpol, William",90164
379,"Tonetti, Claretta",102080
380,"Braude, Eric",129464
381,"Fogel, Aaron",251250
382,"White, Merry",264252
383,"Sirman, Brian",619336
384,"Kinraide, Rebecca",928583
385,"Star, Daniel",1218254
386,"Newell, Cornelia",1490894
387,"Phillips, Brenda",1803992
388,"Otten, Thomas",507345
389,"Fulweiler, Wally",1184527
390,"Tigner, Steven",43265
391,"Buchin, Stan",70713
392,"Iglesias, Yolanda",74423
393,"Carroll, William",94491
394,"Henstock, Mariko",198963
395,"Kaufmann, Robert",308140
396,"Dusewoir, L.",888621
397,"Lefevre, Duane",1306156
398,"Marr, Scott",1477683
399,"Coker, David",67990
400,"Bokulich, Alisa",520508
401,"Brown, Julia",67917
402,"Jackson, James",79072
403,"Guseva, Alya",94649
404,"Zhu, Bin",101068
405,"Collumb, Christopher",107602
406,"Zaderenko, Irene",119700
407,"Zatlin, Jonathan",171994
408,"Cook, Paul",190582
409,"Sullivan, James",225612
410,"Skinner, Brent",306321
411,"Daly, Moira",340687
412,"Laursen, Richard",370887
413,"Byrne, Glenn",400917
414,"Kearns, Ed",557802
415,"Wakeford, Yvonne",1079678
416,"Attarwala, Abbas",2183537
417,"Traniello, James",246153
418,"Fewsmith, Joseph",54577
419,"Hasselmo, Michael",67938
420,"Ricks, Christopher",68024
421,"Stevens, Glenn",68099
422,"Palfai, Tibor",68914
423,"Landes, Richard",68942
424,"Jorgensen, Brian",69003
425,"Kollios, George",70772
426,"Glick, Thomas",72150
427,"Kantak, Katherine",76459
428,"Cranston, Jodi",87885
429,"Hoose, David",154203
430,"Avcikurt, Angelica",171459
431,"Moroi, Yuichi",174605
432,"Miller, James",176383
433,"Grasso, June",194408
434,"Roosevelt, Christopher",278804
435,"Brofman, Vlada",282979
436,"Sarin, Vinod",285114
437,"Tolan, Dean",441968
438,"Harris, Rob",479467
439,"Andrews, Justin",493431
440,"Bokulich, Peter",751142
441,"Yazdanbakhsh, Arash",910835
442,"Orecchia, Lorenzo",2039305
443,"Silber, Nina",67882
444,"Sullivan-Soydan, Anne",1069894
445,"Mendillo, Michael",521943
446,"Pritchett, James",19670
447,"Diefendorf, Barbara",27062
448,"Habib, Khalil",67940
449,"Gilman, Sheldon",73065
450,"Basker-Seigel, Mildred",76366
451,"Halil, Karen",82321
452,"Rzepka, Charles",83564
453,"Waterman, Joseph",100378
454,"Jones, Guilford",114610
455,"Hadley, Shelagh",171332
456,"Brinkman, Klaus",175606
457,"Schotland, Judy",249796
458,"Schaus, Scott",273519
459,"Long, Michael",274861
460,"Lehr, Dick",328322
461,"Danehy, Anne",419436
462,"Luke, Christina",464561
463,"Menegon, Eugenio",490785
464,"Lamanna, Allison",1543907
465,"O'Mara Shimek, Michael",2084817
466,"Marcq, Jeremy",2108631
467,"Rebbi, Claudio",175568
468,"Waller, Garland",594072
469,"Dixon, John",279086
470,"Blau, Susan",67971
471,"Rosen, Stanley",68000
472,"Waters, William",85838
473,"Lyons, Michael",94473
474,"Sorenson, Michael",122448
475,"Matthews, John",129237
476,"Erramilli, Shyamsunder",136863
477,"Katz, Irina",171677
478,"Oxenberg, Richard",177461
479,"Mahon, Michael",194403
480,"Thornton, John",309899
481,"Tien, Joe",368523
482,"Morrison, Paul",468886
483,"Raffo, Luisella",844161
484,"Hall, Paul",878993
485,"Vyshedskiy, Andrey",905161
486,"Voroshilov, Valentin",1049615
487,"Coverdill, Alex",1221325
488,"Farny, Caleb",1443070
489,"Godley, Sophie",1579039
490,"Madsen-Hardy, Sarah",1155628
491,"Tandon, Jason",1346501
492,"Mears, Ashley",1396729
493,"Zhang, Yuting",1869833
494,"Cherry, James",230026
495,"Prince, Michael",67896
496,"Parks, Chris",68014
497,"Carey, Robert",84195
498,"Hansen, Regina",92258
499,"Santini, Don",174921
500,"Roberts, Lee",175511
501,"Drummond, Clara",288570
502,"Roh, Jaemin",417180
503,"Oppliger, Patrice",1118252
504,"Kirks, John",1544825
505,"Kohn, Nathan",1779454
506,"Shenton, Andrew",548617
507,"Hefner, Robert",325683
508,"Lee, Susan",586575
509,"Spilios, Kathryn",1784638
510,"Sinha, Nishi",55796
511,"Oppenheim, Meers",68111
512,"Homer, Steven",68613
513,"Costello, Bonnie",68953
514,"Beatty, Jeffrey",68970
515,"Mills, Nick",70472
516,"Haeri, Shahla",75944
517,"Bourgois, Lylian",81127
518,"Klawans, Johnathan",90743
519,"Swartz, Merlin",94626
520,"Rafferty, Edward",135452
521,"Schuh, Jim",171869
522,"Torres-Adila, Fabian",180030
523,"Olivetti, Claudia",197413
524,"Silvestro, Patricia",259180
525,"Colburn, H. Steven",338623
526,"Bird, Steven",417802
527,"Soto, Gabriele",474787
528,"Kuehn, Manfred",527249
529,"Noor, Jawwad",606116
530,"Pearce, Christopher",827437
531,"Challener, Scott",918935
532,"Whitty, Adrian",1230248
533,"Mullen, Sean",1649345
534,"Oller, Thomas",1660473
535,"Davidson, Joanna",1661858
536,"Nikolaev, Alexander",1863412
537,"Clemens, Dan",135218
538,"Wylie, Diana",44534
539,"Dwyer, Tom",67868
540,"Goldberg, Paul",68040
541,"Martin, Christopher",68208
542,"Amlin, Martin",68901
543,"Lindholm, Charles",68929
544,"Scully, Stephen",72061
545,"Greenfeld, Liah",75966
546,"Leibman, Ludmilla",79664
547,"Metzler, Molly",92284
548,"Albertini, Giovanna",101083
549,"Regan, John",107600
550,"Patterson, Anita",117340
551,"Kornberg, Hans",173625
552,"Strauss, Tracy",181377
553,"Mizruchi, Susan L.",185446
554,"Taylor, Alan",225463
555,"De Appolonia, Giovanna",240044
556,"Gutlerner, Johanna",282738
557,"Booth, Michael",308556
558,"Rahmouni, Amine",318729
559,"Carberry, Alison",498087
560,"Massaro, Joe",596518
561,"Spooner, Rachel",715707
562,"Okita-Snyder, Etsuko",871522
563,"Li, Lynn",1755454
564,"West, Rich",349671
565,"Donham, Perry",1677657
566,"Parenio, Susan",67962
567,"Levine, Hillel",68045
568,"Garik, Peter",68563
569,"Brecher, Kenneth",68636
570,"Barman, Emily",69002
571,"Botsford, Keith",77554
572,"Watanabe, Takeo",86267
573,"Armbruster, Elif",86935
574,"Nolen, Scott",126012
575,"Carruthers, Jeff",131478
576,"Mehlman, Jeffrey",164817
577,"Zhou, Xiaoyang",170509
578,"Jones, Ann",269132
579,"Kurtz, Andrew",275598
580,"Chakrabarti, Supriya",287961
581,"Jaeger, Gregg",351111
582,"Fried, David",407173
583,"Tyler, Meg",530632
584,"Fernandez, Higinio",922421
585,"Breen, Deborah",922985
586,"Chernock, Arianne",989115
587,"Densmore, Douglas",1553112
588,"Graves, Noelle",1969361
589,"Walker, Susan",71815
590,"Barrand, Anthony",75942
591,"Smith, Peter",79113
592,"Collins, Jim",84819
593,"Heintz, Ulrich",110479
594,"Smith, Matthew",113195
595,"Dunlavy, Jean",135459
596,"Ludwig, Karl",172556
597,"Naylor, Adam",172651
598,"Silverstein, Mark",175667
599,"Rohlf, James",271467
600,"Barouch, Eytan",282303
601,"Barbone, Paul",320142
602,"Kessous, Guila",331840
603,"Dowdell, Rel",513557
604,"Michael, Thomas",1201078
605,"Dalia, Albert",1336262
606,"MacGibbon, Ann L.",1351366
607,"Persson, Bjorn",1444533
608,"Joseph, Justin",1473786
609,"Appavoo, Jonathan",1617455
610,"Uden, James",1643509
611,"Dicocco, Jenna",1757073
612,"Holm, Michael",1866794
613,"Salge-Blake, Joan",424633
614,"Wormwood, Ben",2322927
615,"Withers, Paul",1800836
616,"Kestenbaum, Victor",54578
617,"Janes, Kenneth",68109
618,"Yeager, Peter",71409
619,"Newton, John",75662
620,"Hintikka, Jaako",81137
621,"Hazony, Yehonathan",102920
622,"Winn, James",112232
623,"Clancy, Michael",135457
624,"Zlateva, Maria",158394
625,"Rysman, Marc",182612
626,"Bachrach, George",195454
627,"Korobkin, Laura",263925
628,"Chang, Hsiao-Chih",268651
629,"Trachtenberg, Ari",282767
630,"Smith-Hefner, Nancy",287630
631,"Sommers-Smith, Sally",304103
632,"Cottle, Tom",354421
633,"Brody, Leslie",390666
634,"Finzi, Adrien",396904
635,"Sue Wing, Ian",488737
636,"Lin, J. W.",494738
637,"Cavalieri, Chris",594362
638,"Kriner, Douglas",916968
639,"Jaumandreu B, Jordi",1325022
640,"Gavornik, Jeffrey",2173856
641,"Simonian, Eric",2070290
642,"Zink, Peter",1692794
643,"Kwag, Michael",250474
644,"Naidjate, Madani",618882
645,"Furman, Jeff",67910
646,"Cohen, Andy",67951
647,"Rosenberg, Nelly",68103
648,"Betke, Margrit",68622
649,"Sheveloff, Joel",84137
650,"Hills, Patricia",87896
651,"Kiser, Yoko",116004
652,"Zell, Michael",175972
653,"Ekinci, Kamil",285391
654,"Cleveland, Basil",296278
655,"Kahn, Shulamit",320315
656,"Deese, Sam",327383
657,"Anderson, Cynthia",349308
658,"Powers, Gina",618448
659,"Chodos, Leigh",753350
660,"Merritt, Samantha",858872
661,"Unger, Barry",948742
662,"Zibrak, Arielle",1031434
663,"Feldscher, Courtney",1060477
664,"Katsafanas, Paul",1506440
665,"Trimpop, Thorsten",1916999
666,"Ziegler, Lawrence",68124
667,"McVey, Christopher",1926664
668,"Martinez, Maria",68143
669,"Anderson, Bill",68915
670,"Bansil, Rama",71700
671,"Clancy, Dana",71767
672,"Aeschliman, Michael",79043
673,"Sears, Anne",79482
674,"McAnany, Patricia",82085
675,"Lichtman, Steven",82285
676,"Kibria, Nazli",90790
677,"Brunel, Fred",94525
678,"Raffo, Laura",102088
679,"Isaacson, Morton",102906
680,"Lewis, Steven",175702
681,"Heisermann, Gary",190680
682,"Seltz, William",203575
683,"De Quadros, Andre",242838
684,"Guasoni, Paolo",280183
685,"Heywood, Linda",367541
686,"Vybornov, Max",388533
687,"Costos, Daryl",427525
688,"Larash, Patricia",486619
689,"Primack, Richard",529516
690,"Selin, Henrik",596215
691,"Shanler, Amy",769822
692,"Hamill, Kyna",1048143
693,"Stephenson, Corey",1173710
694,"Pasino, Dale",1242569
695,"Abdullah, Siddiq",1323610
696,"Renstrom, Joelle",1324041
697,"Greco-Josefowicz, Diane",1635460
698,"Becker, Neal",2125741
699,"Bozek, Jessica",1096253
700,"Liu, Pinghua",887318
701,"Kaufman, Les",46779
702,"Clemens, Walter",67866
703,"Spence, Harlan",67932
704,"Itkis, Gene",67946
705,"Zisk, Betty",74109
706,"Tropp, Sandra",83563
707,"Orlove, Mark",84766
708,"Iffland, James",86709
709,"Pineda, Adela",86711
710,"Siemon, James",113196
711,"Beaudry, Mary",119219
712,"Fahim, Azza",131454
713,"Kohn, Livia",149470
714,"Walker, Graham",152476
715,"McCann, Margaret",184262
716,"Villar, Marta",227847
717,"Chee, San",317110
718,"Barron, Edward",328241
719,"Figueiredo, José",401242
720,"Airey, Jennifer",497995
721,"Anderson, Peter",507791
722,"Golubeva, Zoja",694969
723,"Hu, Esther",696438
724,"Belta, Calin",801124
725,"Hallstein, Lynne O'Brien",827657
726,"Templer, Pamela",863473
727,"Kardaras, Kostas",874415
728,"Adamowicz, Nicole",915954
729,"Allen, Karen",1443831
730,"Kehoe, Edward",1780559
731,"Sender, Craig",1840987
732,"Constantino, Raphael",1853973
733,"Heda, Raj",1870008
734,"Cappella, Rosella",1871271
735,"Beeler, Aaron",1885053
736,"Fazendeiro, Fatema",1971687
737,"Reinhart, Robert",2181361
738,"Huang, Weijia",936306
739,"Pines, Davida",258531
740,"Lior, Yair ",2008970
741,"Wrigley, Glenn",68292
742,"Hibbard, Jonathan",76022
743,"Menon, Krish",76598
744,"Bustin, Eduard",79356
745,"Parfitt, Matthew",79624
746,"Smilios, Maria",96214
747,"Fredriksen, Paula",101144
748,"Bethune, James",131499
749,"Rosenberg, Steven",191219
750,"Horenstein, Mark",203943
751,"Smith, Kevin",212975
752,"Kunec, Steve",213914
753,"Naya, Frank",220373
754,"Hoffman, Phyllis",255387
755,"Ivanhoe, Philip J.",280149
756,"Butler, John",290511
757,"Jones, Leroy",329946
758,"Connor, Walter",346255
759,"Murphy, Erin",367188
760,"Bernales, Enrique",388614
761,"Nelson, Nancy",499098
762,"Hoff, Joel",501995
763,"Green, Garth",567631
764,"Haines, Steve",608282
765,"Ghosh, Bani",638437
766,"Nelson, Sherry",720463
767,"Stuelke, Patricia",803726
768,"Sreedhar, Suzanne",1046048
769,"Blumenthal, Seth",1081335
770,"Eubanks, Ivan",1285162
771,"Kyte, Brian",1442300
772,"Dodge, Michael",1444828
773,"Adams, Kenneth",1481331
774,"Terzi, Evimaria",1511666
775,"Zhang, Guanglan",1787138
776,"Dey, Ishita",2065564
777,"Blower, Brooke",945517
778,"Guendel, Karen",1244110
779,"Shuckra-Gomez, Kimberly",1162817
780,"Byttebier, Stephanie",827077
781,"Elasmar, Michael G.",175236
782,"Carpman, Larry",67870
783,"Melbin, Murray",67933
784,"Lutchen, Kenneth",69069
785,"Whitaker, Scott",76032
786,"Rosero, Ema",76395
787,"Mughal, Rafique",77178
788,"Wilson, Jean",97498
789,"Rollman, Wilfrid",100988
790,"Verret, John",110999
791,"Paul, John",122452
792,"Reddicliffe, Hal",125866
793,"Knepper, Ronald",131438
794,"Weigt, Steven",173867
795,"Borinsky, Alicia",176030
796,"Malone, Jennifer",180877
797,"Cao, Tian",191048
798,"Jiorle-Nagy, Linda",227962
799,"Poister, Geoffrey",233919
800,"Kim, Jonathan",266169
801,"Schmaltz, Martin",273773
802,"Burnett, Archie",280039
803,"Matson, George",329950
804,"Mohr, Scott",338053
805,"Khazanov, Marina",404057
806,"Chou-Thomas, Yin",458756
807,"Baxter, Hugh",539478
808,"Hawks, Shelly",540291
809,"Hall, Ginna",594681
810,"Raiselis, Richard",723621
811,"Hudson, Brad",768492
812,"Schaaf, Holly",925938
813,"Otto, Michael",960270
814,"Knust, Jennifer",987584
815,"Olafsdottir, Sigrun",1045609
816,"Wagner, Meta",1114204
817,"Eden, Uri",1201440
818,"Bradham, Cynthia",1215772
819,"Pincus, Donna",1283929
820,"Corsentino, Anthony",1322559
821,"Boas, Taylor",1525814
822,"Parker, Kenneth",1557692
823,"Murowchick, Robert",1595191
824,"Mattox, Davina",1671530
825,"Hattori, Shoai",1957525
826,"Palmer, Maxwell",1933456
827,"Yang, Chen",2405324
828,"Szende, Peter",313122
829,"Kanabar, Vijay",262419
830,"Hulnick, Arthur",68959
831,"Toplitt, Sheldon",68991
832,"Callard, Gloria",76419
833,"Boatman, Karen",86879
834,"Frederick, Sarah",112626
835,"Ferleger, Louis",119216
836,"Lang, Kevin",123846
837,"Carney, Ray",135418
838,"Langton, Paula",151892
839,"Gengenbach, Heidi",172008
840,"Medina, Alberto",176001
841,"Anderson, Susan",185611
842,"Zelnick, Bob",191370
843,"Macario, Joyce",209082
844,"Bach, Sebastian",225591
845,"Zuckoff, Mitchell",237654
846,"Lippincott, Joseph",240472
847,"Yakhot, Victor",360040
848,"Neeman, Zvika",407780
849,"Yesnowitz, Josh",427416
850,"Haqqani, Hussain",469333
851,"Mason, Gillian",503077
852,"Corredor, Boris",520128
853,"Van Baalen, Guillaume",585912
854,"Portnoff, Sharon",702610
855,"Miczenowski, John",767383
856,"Boelcskevy, Mary Anne",778751
857,"Henebry, Charles",1052642
858,"Reeves, Andrew",1200764
859,"Ray, Surajit",1232733
860,"Liebesman, David",1378257
861,"Atkinson, Jay",1575819
862,"Divac, Srdjan",1923726
863,"Lascaris, Erik",2188879
864,"French, Jim",319538
865,"Watts, Stephanie",263924
866,"Kaufman, Peter",788800
867,"Carvalho, Luis E",1360472
868,"Mustafa, Luluah",1619481
869,"Muirhead, Philip",1966831
870,"Gevelber, Mike",492504
871,"Dallek, Robert",67889
872,"Abimbola, Wande",67975
873,"Ben-Dor, Zvi",68575
874,"Smith, Alan",68995
875,"Aguila, Yolanda",75946
876,"Berlin, Michael",92962
877,"Bernstein, John",96533
878,"Maitre, Joachim",97213
879,"Nawab, Hamid",131471
880,"Sagafi, H. Thomas",133641
881,"Busher, Peter",135471
882,"Cannon, Eoin",168868
